id,name,types,description
95,onix,rock|ground,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,drowzee,psychic,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,hypno,psychic,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,krabby,water,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,kingler,water,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,voltorb,electric,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
101,electrode,electric,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,exeggcute,grass|psychic,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,exeggutor,grass|psychic,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,cubone,ground,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face."
105,marowak,ground,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,hitmonlee,fighting,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,hitmonchan,fighting,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,lickitung,normal,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,koffing,poison,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,weezing,poison,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,rhyhorn,ground|rock,"A POKéMON with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
112,rhydon,ground|rock,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,chansey,normal,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.
114,tangela,grass,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
115,kangaskhan,normal,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,horsea,water,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,seadra,water,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,goldeen,water,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,seaking,water,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,staryu,water,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
121,starmie,water|psychic,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
122,mr-mime,psychic|fairy,"If interrupted while it is miming, it will slap around the offender with its broad hands."
123,scyther,bug|flying,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,jynx,ice|psychic,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
125,electabuzz,electric,"Normally found near power plants, they can wander away and cause major blackouts in cities."
126,magmar,fire,Its body always burns with an orange glow that enables it to hide perfectly among flames.
127,pinsir,bug,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,tauros,normal,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,magikarp,water,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,gyarados,water|flying,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
131,lapras,water|ice,A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water.
132,ditto,normal,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
133,eevee,normal,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
134,vaporeon,water,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
135,jolteon,electric,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
136,flareon,fire,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
137,porygon,normal,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.
138,omanyte,rock|water,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,omastar,rock|water,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.
140,kabuto,rock|water,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.
141,kabutops,rock|water,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
142,aerodactyl,rock|flying,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
143,snorlax,normal,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,articuno,ice|flying,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.
145,zapdos,electric|flying,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.
146,moltres,fire|flying,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
147,dratini,dragon,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
148,dragonair,dragon,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.
149,dragonite,dragon|flying,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.
150,mewtwo,psychic,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
151,mew,psychic,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
